M,ebn0_db,theory_bit,theory_symb,sim_bit,sim_symb
2,0,0.15865525393145707,0.15865525393145707,0.1580928169084293,0.1580928169084293
2,1,0.1309272967555245,0.1309272967555245,0.1299287174118937,0.1299287174118937
2,2,0.10402863708538868,0.10402863708538868,0.10360899257265341,0.10360899257265341
2,3,0.07889587198172443,0.07889587198172443,0.07801206320721799,0.07801206320721799
2,4,0.05649530174936167,0.05649530174936167,0.05635312297492647,0.05635312297492647
2,5,0.03767898814746343,0.03767898814746343,0.0367130252729176,0.0367130252729176
2,6,0.023007138877866026,0.023007138877866026,0.022157419869398336,0.022157419869398336
2,7,0.012587033122144622,0.012587033122144622,0.013085090474054135,0.013085090474054135
2,8,0.006004386400163564,0.006004386400163564,0.005956831663426549,0.005956831663426549
2,9,0.0024133104196338647,0.0024133104196338647,0.002392702258112756,0.002392702258112756
2,10,0.000782701129001274,0.000782701129001274,0.0008474153830816011,0.0008474153830816011
4,0,0.15729920705028516,0.23594881057542774,0.12257614276456806,0.18478640147549974
4,1,0.11256390395308295,0.16884585592962442,0.08895369124171278,0.13219679976072976
4,2,0.07501225671785197,0.11251838507677796,0.06263396640247246,0.0938138677035043
4,3,0.04575681512217069,0.06863522268325603,0.037460744728577834,0.057424854194706144
4,4,0.025001636081475136,0.0375024541222127,0.02190818005084492,0.03275011215791835
4,5,0.011907734295557325,0.017861601443335987,0.010866856088928767,0.016699067843078612
4,6,0.004776581561865614,0.007164872342798421,0.0048601764617915355,0.007028562883206221
4,7,0.0015453496307568891,0.0023180244461353337,0.001239968097303225,0.0018692986391505907
4,8,0.0003818155481519863,0.0005727233222279795,0.0003536089925726534,0.0005420966053536713
4,9,6.72544568392352e-05,0.0001008816852588528,6.931974354810382e-05,0.0001043690114385321
4,10,7.7442164310441e-06,1.1616324646566149e-05,8.129491209220927e-06,1.2851410627298771e-05
8,0,0.16652903332710092,0.2914258083224266,0.09987039529435222,0.1755645281890235
8,1,0.10393739206726713,0.18189043611771746,0.06699566322715717,0.11769104232092119
8,2,0.05843746482897155,0.10226556345070022,0.041174418025023675,0.07185583968894871
8,3,0.02884321382533376,0.05047562419433408,0.020512437066945815,0.03521758636159713
8,4,0.012097919626501445,0.021171359346377528,0.009969592742136484,0.017347091371317482
8,5,0.004139034976656656,0.007243311209149148,0.003489357459747769,0.0061686855091969495
8,6,0.0010969349912884239,0.0019196362347547419,0.00098138178555406,0.0017010617616270375
8,7,0.00021100236207940165,0.0003692541336389529,0.00019783395188896374,0.0003388095866756704
8,8,2.7138875527143833e-05,4.749303217250171e-05,2.8526240003037607e-05,4.819278516036076e-05
8,9,2.1047582928051388e-06,3.683327012408993e-06,,
8,10,8.640926115655013e-08,1.5121620702396273e-07,,
16,0,0.18200105558543372,0.34125197922268824,0.0902995862619012,0.17007277439936197
16,1,0.09932010683288067,0.18622520031165127,0.05413488858980111,0.1000897218622271
16,2,0.04722932694924213,0.088554988029829,0.030133094063107522,0.055527863622769416
16,3,0.018907814808751842,0.0354521527664097,0.013035242510343452,0.024125211843285813
16,4,0.006102041736761657,0.011441328256428107,0.0046233986341657944,0.008773241613080105
16,5,0.001502977524864667,0.0028180828591212507,0.001420666965754449,0.0026917900403768506
16,6,0.00026370920793468167,0.0004944547648775281,0.00025780723651672047,0.0004704386918688878
16,7,3.0217057523237596e-05,5.665698285607049e-05,3.378363577151553e-05,6.03626745260167e-05
16,8,2.0266461781509724e-06,3.7999615840330733e-06,,
16,9,6.930937704253829e-08,1.299550819547593e-07,,
16,10,1.0158514357883427e-09,1.9047214421031425e-09,,
